06/18/2017 12:41:49 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
06/18/2017 12:41:53 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
06/18/2017 12:41:56 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
06/18/2017 12:41:59 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
06/18/2017 12:42:02 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
07_06_2017 05_03_42 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_03_46 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_03_50 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_03_54 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_03_58 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_02 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_06 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_10 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_14 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_19 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_23 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_27 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_31 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_35 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_39 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_43 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_47 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_51 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_04_55 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_00 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_04 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_08 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_12 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_16 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_20 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_24 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_28 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_32 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_36 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_40 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_45 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_49 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
